Places,Notes,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
"Alexandrowka, RSFSR",,"Aleksandrovka, Kaliningrad Oblast, Russia, 238642",54.8351995,21.4925571,238642,Aleksandrovka,Russia,Kaliningrad Oblast,Polessky District,Polessky District
Algech (Liban),,,,,,,,,,
Aloisburg (Čechy),,"Anderleho 837/14, 198 00 Praha 14-Černý Most, Czechia",50.104476,14.5638847,198 00,,Czechia,Hlavní město Praha,Hlavní město Praha,Hlavní město Praha
Alsóhrabonica,"Alsógereben (Alsóhrabonica), once hungarian now belonging to the town of Ĉinadijovo",,48.501593,22.845216,,Ĉinadijovo,Ukraine,,,
Alt-Paschkau (Schlesien),,"Paczków, Poland",50.4635646,17.0057255,48,Paczków,Poland,Opole Voivodeship,Nysa County,Nysa County
Altdorf (qualis?),Do not see this with the parenthetical in the cleanup sheet; Might be Waltdorf?,,,,,,,,,
Amvers,"Likely Anvers, or Antwerp, Belgium / I would be pretty confident on this, CC",,51.221723,4.400545,,Antwerp,Belgium,,,
Andersdorf,,"Ondrášov, 793 05 Moravský Beroun, Czechia",49.7875629,17.4266257,793 05,Moravský Beroun,Czechia,Olomouc Region,Olomouc District,Olomouc District
Anfang (Chine),,China,35.86166,104.195397,,,China,,,
Anking (Anhwei),,"Anqing, Anhui, China",30.531919,117.115101,,Anqing,China,Anhui,,
Aour (Madras),"Present day in the state of Tamil Nadu, India (formerly near the Trichinopoly district)",,,,,,,,,
Araïme (Liban),"Al ‘Uraymah, Syria?",,,,,,,,,
As? (Limbourg),,,51.006086,5.583076,,As,Belgium,,,
"Astrakhan, RSFSR",,"Astrakhan, Astrakhan Oblast, Russia",46.3586008,48.0569483,,Astrakhan,Russia,Astrakhan Oblast,Gorod Astrakhan',Gorod Astrakhan'
Avignor,Do not see this term in the cleanup sheet,,,,,,,,,
Babin Wielki,"Babin is a village in the administrative district of Gmina Środa Wielkopolska, within Środa Wielkopolska County, Greater Poland Voivodeship, in west-central Poland.",,51.17345,22.34603,,Babin,Poland,,,
"Babinoviči, BSSR","Babinavichy is a small town in Liozna District, in the Vitebsk Region of Belarus.",,54.8330284,30.57271957,,Babinovichi,Belarus,,,
Balliby,"Likley Ballibay, Ireland",,54.12744313,-6.90095901,,Ballibay,Ireland,,,
Barhamus (Miss Beng),"Barhamusa, little village in the district of Odisha, India and close to the town of Banei",,21.79951112,84.92946625,,Barhamusa,India,,,
Baronów,,,,,,,,,,
Baubuzky (Wolyn),"Babushky, in the voivodship of Wolyn, Polan, then partly turned into ukraine",,49.994999,28.18508,,Babushky,Ukraine,,,
Bauerwitz (Schlesien),,"Baborów, Poland",50.1575901,17.9852459,48,Baborów,Poland,Opole Voivodeship,Głubczyce County,Głubczyce County
Begenhoven,cannot find this in the cleanup sheet,,,,,,,,,
Bèlá (Čechy),,"514 01 Bělá, Czechia",50.5343169,15.4453274,514 01,Bělá,Czechia,Liberec Region,Semily District,Semily District
Belforrt,cannot find this in the cleanup sheet,,,,,,,,,
Belleghem (Fl Oc),Bellegem,,50.7781502,3.2800137,,Bellegem,Belgium,,,
Bellouni (Liban),"Ballouneh, Lebanon",,33.949131,35.666222,,Ballouneh,Lebanon,,,
Benešov (Čechy),,"256 01 Benešov, Czechia",49.7837821,14.6873699,256 01,Benešov,Czechia,Central Bohemian Region,Benešov District,Benešov District
Benešovice (Čechy),,"349 01 Benešovice, Czechia",49.726864,12.901699,349 01,Benešovice,Czechia,Plzeň Region,Tachov District,Tachov District
Bergfriede (Kaliningrad),,"Kaliningrad, Kaliningrad Oblast, Russia",54.7104264,20.4522144,,Kaliningrad,Russia,Kaliningrad Oblast,Kaliningrad,Kaliningrad
Bergreichenstein (Čechy),,"341 92 Kašperské Hory, Czechia",49.1429001,13.5561642,341 92,Kašperské Hory,Czechia,Plzeň Region,Klatovy District,Klatovy District
Berhausen ,"Likely Bernhausen, a former municipality in the Esslingen distric",,48.6778441,9.2155481,,Bernahausen,Germany,,,
"Bešenkoviči, Moghilew",,"Beshankovichy, Belarus",55.046241,29.4552443,,Beshankovichy,Belarus,Vitebsk Region,Beshankovichy District,Beshankovichy District
Bethlaïa pr Damas),,,,,,,,,,
Betra (Hohenzollern),,,48.41055325,8.66737228,,Betra,Germany,,,
Bezdakov (Cechy),,"339 01 Bezděkov, Czechia",49.3808012,13.2274693,339 01,Bezděkov,Czechia,Plzeň Region,Klatovy District,Klatovy District
"Bezvodna (Grodno, USSR)",,"Grodno, Belarus",53.6687634,23.8222673,,Grodno,Belarus,Hrodna Region,Grodna District,Grodna District
Bienenthal (Čechy),,"394 70 Včelnička, Czechia",49.3044059,15.0424078,394 70,Včelnička,Czechia,Vysocina Region,Pelhřimov District,Pelhřimov District
Bilinka (Polska),,"Bilinka, 398 43 Bernartice, Czechia",49.3578961,14.3776886,398 43,Bernartice,Czechia,South Bohemian Region,Písek District,Písek District
"Bilka, USSR",,,51.338421,28.418539,,Bilka,Ukraine,,,
Bilsko pr Vodñany (Čechy),,"387 73 Bílsko, Czechia",49.1590449,14.059008,387 73,Bílsko,Czechia,South Bohemian Region,Strakonice District,Strakonice District
Birhé (Liban),perhaps Al-Bireh (Palestine)?,,,,,,,,,
Bischello pr Jihlava (Morava),,"586 01 Jihlava, Czechia",49.3983782,15.5870415,586 01,Jihlava,Czechia,Vysocina Region,Jihlava District,Jihlava District
Biskupice (Morava),,"798 12 Biskupice, Czechia",49.4596735,17.2365985,798 12,Biskupice,Czechia,Olomouc Region,Prostějov District,Prostějov District
Bismarckhütte (Schlesien),,"Chorzów Batory, Chorzow, Poland",50.2664361,18.9370922,41,Chorzow,Poland,Silesian Voivodeship,Chorzów,Chorzów
Bjaloncia pr Vitebsk,,"Viciebsk, Belarus",55.1926809,30.206359,,Viciebsk,Belarus,Vitebsk Region,Vitsebsk District,Vitsebsk District
Blatná (Čechy),,"Na Příkopech 320, 388 01 Blatná, Czechia",49.422842,13.879437,388 01,Blatná,Czechia,Jihočeský kraj,Strakonice,Strakonice
"Blinishti (Zadrima, Albanie)",,"Blinisht, Albania",41.8794931,19.6386363,,Blinisht,Albania,Lezhë County,Lezhë District,Lezhë District
"Blízejov (Domažlice, Čechy)",,"Blížejov, Czechia",49.5000149,12.9892664,,Blížejov,Czechia,Plzeň Region,Domažlice District,Domažlice District
Bohosudov (Morava),,"Bohosudov, 417 42 Krupka, Czechia",50.681863,13.8716769,417 42,Krupka,Czechia,Ústí nad Labem Region,Teplice District,Teplice District
Bonni,"Likely Bonn, Germany",,,,,,,,,
Boršice (Morava),,"687 09 Boršice, Czechia",49.062543,17.3508527,687 09,Boršice,Czechia,Zlin Region,Uherske Hradiste,Uherske Hradiste
Boryaniči (dc Vilnen),,,,,,,,,,
Boskovice (Morava),,"Komenského 2302, 680 01 Boskovice, Czechia",49.4908853,16.6530991,680 01,Boskovice,Czechia,Jihomoravský kraj,Blansko,Blansko
Božice (Morava),,"671 64 Božice, Czechia",48.8368672,16.2887557,671 64,Božice,Czechia,South Moravian Region,Znojmo District,Znojmo District
"Branchnówka, USSR",,,53.1490137,18.5667533,,Brąchnówko,Poland,,,
Břeclav (Morova),,"Breclav, Czechia",48.75314,16.8825169,,Breclav,Czechia,South Moravian Region,Břeclav District,Břeclav District
"Brest Litovsk, BSSR",,"Brest, Belarus",52.0996507,23.7636662,,Brest,Belarus,Brest Region,Brest District,Brest District
Breźany u Znojma.,,"671 65 Břežany, Czechia",48.8699231,16.3417525,671 65,Břežany,Czechia,South Moravian Region,Znojmo District,Znojmo District
Březová (Morava),,"687 67 Březová, Czechia",48.9254283,17.7398675,687 67,Březová,Czechia,Zlin Region,Uherske Hradiste,Uherske Hradiste
Brno (Morava),,"Řehořova 1165/5, 618 00 Brno-Černovice, Czechia",49.1838319,16.6333629,618 00,,Czechia,Jihomoravský kraj,Brno-město,Brno-město
Brodek u NEzamyslic (Morava),,"798 07 Brodek u Prostějova, Czechia",49.3699645,17.0900635,798 07,Brodek u Prostějova,Czechia,Olomouc Region,Prostějov District,Prostějov District
Broumov (Čechy),,"550 01 Broumov, Czechia",50.5856582,16.3318151,550 01,Broumov,Czechia,Hradec Králové Region,Náchod District,Náchod District
Bruntal,,"792 01 Bruntál, Czechia",49.9881767,17.4636941,792 01,Bruntál,Czechia,Moravian-Silesian Region,Bruntál District,Bruntál District
Brzaczkovice (Polska),"Brzęczkowice, Polad",,,,,,,,,
Budikow ad Humpolec (Čechy),,"396 01 Budíkov, Czechia",49.5791432,15.3626053,396 01,Budíkov,Czechia,Vysocina Region,Pelhřimov District,Pelhřimov District
Budiškovice (Čechy),,"Budíškovice, Czechia",49.0762484,15.5309057,,Budíškovice,Czechia,South Bohemian Region,Jindřichův Hradec District,Jindřichův Hradec District
"Budobol, Li. SSR",,"Budobol, Belarus",55.3555232,29.3490314,,Budobol,Belarus,Vitebsk Region,Shumilina District,Shumilina District
Bukovany (Brno. Morava),,"Malinovského nám. 4, 602 00 Brno-střed, Czechia",49.1953198,16.6141453,602 00,,Czechia,Jihomoravský kraj,Brno-město,Brno-město
Butovice ad Novy Jičin (Morava),,"Butovice, 742 13 Studénka, Czechia",49.7180892,18.0357005,742 13,Studénka,Czechia,Moravskoslezský kraj,Nový Jičín,Nový Jičín
Buttevasit (Cork),"Buttevant Friary ; Buttevachdnt, County Cork, Ireland",,,,,,,,,
Canandhacoudy (India),"likely Anandakudi Thelichathanallur, district of Paramakudi, where a church of Saint Francis Xavier is",,9.49951914,78.6882019,,Anandakudi Thelichathanallu,India,,,
Canton (Chine),,"Guangzhou, Guangdong Province, China",23.12911,113.264385,,Guangzhou,China,Guangdong Province,,
Cea (Beira-Baixa),"This is Seia in the Breira-Alta, also spelled Cea",,40.3829033,-7.69135373,,Seia,Portugal,,,
"Čečersk, BSSR",,"Chachersk, Belarus",52.9191488,30.9156527,,Chachersk,Belarus,Gomel Region,Chachersk District,Chachersk District
"Čechtín (Třebíč, Morava)",,"675 07 Čechtín, Czechia",49.2930492,15.8198746,675 07,Čechtín,Czechia,Vysocina Region,Třebíč District,Třebíč District
Čechy (Morava),,Czechia,49.817492,15.472962,,,Czechia,,,
Centenheim (B-Rhin),too many -heim in the Bas-Rhin dpt to make this call...,,,,,,,,,
Cernovir (Morava),,"Černovír, 779 00 Olomouc, Czechia",49.6149289,17.2575669,779 00,Olomouc,Czechia,Olomouc Region,Olomouc District,Olomouc District
Černožice ad Králuv Dvur (Čechy),,"503 04 Černožice, Czechia",50.3186323,15.8740327,503 04,Černožice,Czechia,Hradec Králové Region,Hradec Králové District,Hradec Králové District
Česka Lipa (Čechy),,"Ceska Lipa, Czechia",50.6785201,14.5396991,,Ceska Lipa,Czechia,Liberec Region,Česká Lípa District,Česká Lípa District
Česky Dub (Čechy),,"463 43 Český Dub, Czechia",50.661016,14.9961865,463 43,Český Dub,Czechia,Liberec Region,Liberec District,Liberec District
Česky Těšin,,"Český Těšín, Czechia",49.7470441,18.6237961,,Český Těšín,Czechia,Moravian-Silesian Region,Karviná District,Karviná District
Ch'ent'un (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Chakra Bareto (Brasil),"Spelled Chacra Barreto, a neighborhood of Canoas, Brasil",,-29.9216045,-51.1799525,,Canoas,Brasil,,,
"Chalcz, BSSR",,"Khal'ch, Belarus",52.565705,31.1314444,,Khal'ch,Belarus,Gomel Region,Vetka District,Vetka District
Charamartín,"Cannot fine this in the cleanup. But i find Chamartín, Avila",,40.7018688,-4.9570085,,Chamartín,Spain,,,
Cheb (Čechy),,"Cheb, Czechia",50.0795334,12.3698636,,Cheb,Czechia,Karlovy Vary Region,Cheb District,Cheb District
Chenkingts'uenn (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Chenntcheou (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Chine,,China,35.86166,104.195397,,,China,,,
Chinkiang (Chine),,"Zhenjiang, Jiangsu, China",32.187849,119.425836,,Zhenjiang,China,Jiangsu,,
Chio,indecidible from the cleanup,,,,,,,,,
Choeitong (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
"Cholm, RSFSR",,"Kholm, Novgorod Oblast, Russia",57.1472054,31.1754185,,Kholm,Russia,Novgorod Oblast,Kholmsky District,Kholmsky District
Chomourov pr Olomouc (Morava),,"Olomouc, Czechia",49.593778,17.2508787,,Olomouc,Czechia,Olomouc Region,Olomouc District,Olomouc District
Chomutov (Čechy),,"Na Moráni 5459, 430 01 Chomutov, Czechia",50.452693,13.4192457,430 01,,Czechia,Ústecký kraj,Chomutov,Chomutov
Chotoviny (Čechy),,"391 37 Chotoviny, Czechia",49.4780315,14.676949,391 37,Chotoviny,Czechia,South Bohemian Region,Tábor District,Tábor District
Chronstau (Schlesien),,"Suchy Bór, Poland",50.6538197,18.0415714,46,Suchy Bór,Poland,Opole Voivodeship,Opolski,Opolski
Chrosc (Polska),"neighborhood of Dolne Staniątki,Poland",,50.0111674,20.1896688,,Dolne Staniątki,Poland,,,
Chvalširy (Čechy),,Czechia,49.817492,15.472962,,,Czechia,,,
"Chyróx, USSR",,,,,,,,,,
Cieszyn Czeski (Polska),,"Český Těšín, Czechia",49.7470441,18.6237961,,Český Těšín,Czechia,Moravian-Silesian Region,Karviná District,Karviná District
Cinvald (Čechy),,"Cínovec, 415 01 Dubí, Czechia",50.7316086,13.7685929,415 01,Dubí,Czechia,Ústí nad Labem Region,Teplice District,Teplice District
Cisarov (Morava),,"751 03 Císařov, Czechia",49.4660347,17.3526109,751 03,Císařov,Czechia,Olomouc Region,Přerov District,Přerov District
Claffin (Tyrone),the closest name in the county of Tyrone is Clougher,,,,,,,,,
Constfield,,,,,,,,,,
Conzacq (Landes),Typo: Donzacq,,43.6569776,-0.8030601,,Donzacq,France,,,
Cooraelane (Clare),"Another spelling for Coorcullane, Glengarriff",,,,,,,,,
Córdoma,"Córdoba, the Argentinian one; in the same entry the same mispelling in the date of birth, but with the indication of Argentina",,-32.0967361,-63.7940923,,Córdoba,Argentina,,,
Coringo,Possibly Coringa located in India,,,,,,,,,
Cornet-Chahoua (Liban),,,33.9152691,35.6259691,,Qornet Chahouane,Lebanon,,,
Courtrai,Kortrijk,,50.8178514,3.27829257,,Kortrijk,Belgium,,,
Coutelour (Miss Madur),likely Cuddalore (missio madurensis),,11.7332103,79.69041057,,Cuddalore,India,,,
Čsonoplja (Bačka),mispelled: Čonoplja,,45.812126,19.248848,,Čonoplja,Serbia,,,
"Czeczersk, BSSR",,"Chachersk, Belarus",52.9191488,30.9156527,,Chachersk,Belarus,Gomel Region,Chachersk District,Chachersk District
"Czereja (Smolenska, apud Patres Basilianos, BSSR)",,"Chereya, Belarus",54.6147509,29.278454,,Chereya,Belarus,Vitebsk Region,Chashniki District,Chashniki District
"Čzertowiči, USSR",likely Czernowitz (also Chernivtsi),,48.2864702,25.9376532,,Chernivtsi,Ukraine,,,
Ďáblice (Čechy),,"182 00 Ďáblice, Czechia",50.1461438,14.4827457,182 00,,Czechia,Prague,Hlavní město Praha,Hlavní město Praha
Dalwin (Westpreussen),,,54.11303,18.64144,,Dalwin,Poland,,,
Danschwitz (Schlesien),,"Więźniów Oświęcimia 20, 32-603 Oświęcim, Poland",50.0274106,19.2019829,32-603,Oświęcim,Poland,Małopolskie,Powiat oświęcimski,Powiat oświęcimski
Daubice (Cechy),"likely Dobšice, but there are three of them in Cech republic / cannot make this call",,,,,,,,,
Dávon,Certainly Davao (Filippines: the Jesuit in question was Superior there as in the Woodstock Letters,,7.0644576,125.6083647,,Davao,Philippines,,,
dc Marianopolitan,"likely Marianopolis, which could be located in Westmount (as its former name), Canada",,45.4857329,-73.5963951,,Westmount,Canada,,,
Děcin,,"Děčín, Czechia",50.7725563,14.2127612,,Děčín,Czechia,Ústí nad Labem Region,Děčín District,Děčín District
Demerara (Gayane Angl.),Demerara (Guyanas) is a region,,6.79280773,-58.19595337,,Georgetown,Guyana,,,
Deutschleipe (Schlesien),,"Lipowa, Poland",49.6750613,19.0939008,34,Lipowa,Poland,Silesian Voivodeship,Żywiec County,Żywiec County
dispersus in RSFSR,,,,,,,,,,
Divišov (Čechy),,"257 26 Divišov, Czechia",49.7884924,14.8757954,257 26,Divišov,Czechia,Central Bohemian Region,Benešov District,Benešov District
Dlouha Lhota (Čechy),,"391 55 Dlouhá Lhota, Czechia",49.3525183,14.7889522,391 55,Dlouhá Lhota,Czechia,South Bohemian Region,Tábor District,Tábor District
Dlouhá Třebová (Čechy),,"561 17 Dlouhá Třebová, Czechia",49.9403981,16.4232971,561 17,Dlouhá Třebová,Czechia,Pardubice Region,Ústí nad Orlicí District,Ústí nad Orlicí District
Dobrá pr Frýdek (Kat.),,"739 51 Dobrá, Czechia",49.6738269,18.413937,739 51,Dobrá,Czechia,Moravian-Silesian Region,Frýdek-Místek District,Frýdek-Místek District
"Dobre, Mścislaw",,"Mscislaŭ, Belarus",54.0206321,31.7220403,,Mscislaŭ,Belarus,Mogilev Region,Mstsislaw District,Mstsislaw District
Dolni Břežany (Čechy),,"Dolní Břežany, Czechia",49.9632141,14.4585114,,Dolní Břežany,Czechia,Central Bohemian Region,Prague-West District,Prague-West District
Dolní Vesnice (Čechy),,"691 29 Dolní Věstonice, Czechia",48.8882243,16.6436916,691 29,Dolní Věstonice,Czechia,South Moravian Region,Břeclav District,Břeclav District
Doubravany ad Jìčin (Čechy),,"Doubravany, 289 34 Košík, Czechia",50.306975,15.1281713,289 34,Košík,Czechia,Středočeský kraj,Nymburk,Nymburk
Doutsitsao (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Drahotuše (Morava),,"Drahotuše, 753 61 Hranice, Czechia",49.5494945,17.6944928,753 61,Hranice,Czechia,Olomoucký kraj,Přerov,Přerov
Dřevohostice (Čechy),,"751 14 Dřevohostice, Czechia",49.4259425,17.5920528,751 14,Dřevohostice,Czechia,Olomouc Region,Přerov District,Přerov District
"Drissa, BSSR",,"Verkhnyadzvinsk, Belarus",55.7811663,27.9335835,,Verkhnyadzvinsk,Belarus,Vitebsk Region,Verkhniadzvinsk District,Verkhniadzvinsk District
Dublice Duze,Dubicze Osoczne? But Duze is not close to it,,,,,,,,,
Dudenhove-Ste-Marie (Fl OR),,,50.0112724,8.8842535,,Dudenhofen,Germany,,,
Dunkelthal (Cechy),,"Temný Důl, 542 26 Horní Maršov, Czechia",50.6648358,15.7993043,542 26,Horní Maršov,Czechia,Královéhradecký kraj,Trutnov,Trutnov
Dun-le-Roy (Cher),,,46.2559641,4.34496608,,Dun-Le-Roy,France,,,
"Duploia-Welowo RSFSR, in bello",,,,,,,,,,
"Dürmaul (Plan, Čechy)",,"Trmová, 330 13 Trnová-Stýskaly, Czechia",49.861897,13.318202,330 13,Trnová,Czechia,Plzeňský kraj,Plzeň-sever,Plzeň-sever
"Dürmaul (Plan, Čechy)",,"Trmová, 330 13 Trnová-Stýskaly, Czechia",49.861897,13.318202,330 13,Trnová,Czechia,Plzeňský kraj,Plzeň-sever,Plzeň-sever
Durrës (Albanie),,"Durrës, Albania",41.3245904,19.4564686,,Durrës,Albania,Durrës County,,
Dyjákovice (Gross-Tajax),,"671 26 Dyjákovice, Czechia",48.7718753,16.3009684,671 26,Dyjákovice,Czechia,South Moravian Region,Znojmo District,Znojmo District
Eckersdorf (Schlesien),,"Bożków, Poland",50.5126456,16.5751163,57,Bożków,Poland,Lower Silesian Voivodeship,Kłodzko County,Kłodzko County
Eibenschitz (Morava),,"664 91 Ivancice, Czechia",49.1014449,16.3775224,664 91,Ivancice,Czechia,South Moravian Region,Brno-Country District,Brno-Country District
Eichwald (Čechy),,"Dubí, Czechia",50.6810392,13.7888467,,Dubí,Czechia,Ústí nad Labem Region,Teplice District,Teplice District
Ekhsas (H-Egypte),,,,,,,,,,
Elene (Fl Or),A village of Zottigem,,50.869252,3.8103878,,Zottigem,Belgium,,,
Emst (Österreich),Likely Imst,,47.2381536,10.7406982,,Imst,Austria,,,
Englisch Brunn (Schlesien),"the only Brunn I can find in Schlesien is Neubrunn, geman name of Szczawina",,,,,,,,,
Fabricensis ,"There are 2 Fabbrica in Piedmont, where this Jesuit entered. ",,,,,,,,,
