Places,Places without underlines and Fl Oc,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
Murcia,Murcia,"Murcia, Spain",37.9922399,-1.1306544,,Murcia,Spain,Region of Murcia,Murcia,MU
Lulworth Castle (Dorset),Lulworth Castle (Dorset),"East Lulworth, Wareham BH20 5QS, UK",50.6390979,-2.208757,BH20 5QS,East Lulworth,United Kingdom,England,Dorset,Dorset
Tarazona de la Mancha (Albacete),Tarazona de la Mancha (Albacete),"02100 Tarazona de la Mancha, Albacete, Spain",39.2651188,-1.912995,2100,Tarazona de la Mancha,Spain,Castile-La Mancha,Albacete,Albacete
"Rečica, BRSS","Rečica, BRSS","Rečica, Croatia",45.5075929,15.6628112,,Rečica,Croatia,Karlovac County,Općina Karlovac,Općina Karlovac
Studley (Warwick),Studley (Warwick),"Studley, UK",52.270696,-1.893509,,Studley,United Kingdom,England,Warwickshire,Warwickshire
Pamplona,Pamplona,"Pamplona, Navarre, Spain",42.812526,-1.6457745,,Pamplona,Spain,Navarre,Navarre,NA
Collados (Teruel),Collados (Teruel),"44211 Collados, Teruel, Spain",40.9900573,-1.1634967,44211,Collados,Spain,Aragon,Teruel,Teruel
? (Scotland),? (Scotland),"Scotland, UK",56.4906712,-4.2026458,,,United Kingdom,Scotland,,
Porto,Porto,"Porto, Portugal",41.1579438,-8.6291053,,Porto,Portugal,Porto District,,
Orbáiz (Navarra),Orbáiz (Navarra),"Navarre, Spain",42.6953909,-1.6760691,,,Spain,Navarre,Navarre,NA
San Sebastián,San Sebastián,"Donostia-San Sebastian, Gipuzkoa, Spain",43.318334,-1.9812313,,Donostia-San Sebastian,Spain,Basque Country,Gipuzkoa,SS
Aldover (Tarragona),Aldover (Tarragona),"43591 Aldover, Tarragona, Spain",40.879942,0.4992069,43591,Aldover,Spain,Catalonia,Tarragona,T
"Tepeaca, Pue.","Tepeaca, Pue.","Tepeaca, Puebla, Mexico",18.9659554,-97.8993756,,Tepeaca,Mexico,Puebla,,
Alcalá de la Jovada (Alicante),Alcalá de la Jovada (Alicante),"03788 Alcalà de la Jovada, Alacant, Spain",38.7947651,-0.2520582,3788,Alcalà de la Jovada,Spain,Comunitat Valenciana,Alacant,A
Orihuela,Orihuela,"Orihuela, Alicante, Spain",38.0855352,-0.9480358,,,Spain,Valencian Community,Alicante,A
Écija (Sevilla),Écija (Sevilla),"Écija, Seville, Spain",37.5414656,-5.0826742,,Écija,Spain,Andalusia,Seville,Seville
Santiago de Chile ,Santiago de Chile ,"Santiago, Santiago Metropolitan Region, Chile",-33.4488897,-70.6692655,,,Chile,Santiago Metropolitan Region,Santiago Province,Santiago Province
Nava del Ray (Valladolid),Nava del Ray (Valladolid),"47500 Nava del Rey, Valladolid, Spain",41.3305607,-5.0819935,47500,Nava del Rey,Spain,Castile and León,Valladolid,VA
Heusden (N-Brabant),Heusden (N-Brabant),"5256 Heusden, Netherlands",51.7285836,5.160875,5256,Heusden,Netherlands,North Brabant,Heusden,Heusden
London,London,"London, UK",51.5073509,-0.1277583,,London,United Kingdom,England,Greater London,Greater London
Piacenza,Piacenza,"Piacenza, Province of Piacenza, Italy",45.0526206,9.6929845,,Piacenza,Italy,Emilia-Romagna,Province of Piacenza,PC
Leidenberg pr Sursee (Luzern),Leidenberg pr Sursee (Luzern),"Meienriesliweg 15, 6210 Sursee, Switzerland",47.1756114,8.1095183,6210,Sursee,Switzerland,Luzern,Sursee,Sursee
México,México,Mexico,23.634501,-102.552784,,,Mexico,,,
Palermo ,Palermo ,"Palermo, Province of Palermo, Italy",38.11569,13.3614868,,Palermo,Italy,Sicily,Province of Palermo,PA
Vesio,Vesio,"25010 Vesio, Province of Brescia, Italy",45.7903473,10.7478063,25010,Vesio,Italy,Lombardy,Province of Brescia,BS
La Rioja,La Rioja,"La Rioja, Spain",42.2870733,-2.539603,,,Spain,La Rioja,La Rioja,LO
Montealegre (Valladolid),Montealegre (Valladolid),"47816 Montealegre de Campos, Valladolid, Spain",41.9015654,-4.8981036,47816,Montealegre de Campos,Spain,Castile and León,Valladolid,VA
Sevilla,Sevilla,"Seville, Spain",37.3890924,-5.9844589,,Seville,Spain,Andalusia,Seville,Seville
Oliva (Valencia),Oliva (Valencia),"46780 Oliva, Valencia, Spain",38.9197587,-0.1187855,46780,Oliva,Spain,Valencian Community,Valencia,V
Valladolid,Valladolid,"Valladolid, Spain",41.652251,-4.7245321,,Valladolid,Spain,Castile and León,Valladolid,VA
Mozanica (Bergamo),Mozanica (Bergamo),"24050 Mozzanica, Province of Bergamo, Italy",45.4692736,9.6827845,24050,,Italy,Lombardy,Province of Bergamo,BG
Marsala (Trapani),Marsala (Trapani),"91025 Marsala, Province of Trapani, Italy",37.7981074,12.4372236,91025,Marsala,Italy,Sicily,Province of Trapani,TP
Tomelloso (Ciudad Real),Tomelloso (Ciudad Real),"Municipality of Tomelloso, 13700, Ciudad Real, Spain",39.1582611,-3.0212324,13700,,Spain,Castile-La Mancha,Ciudad Real,Ciudad Real
Planes (Alicante),Planes (Alicante),"03828 Planes, Alicante, Spain",38.7830604,-0.3399066,3828,Planes,Spain,Valencian Community,Alicante,A
Aulestia (Vizcaya),Aulestia (Vizcaya),"48380 Aulesti, Biscay, Spain",43.2972564,-2.5619215,48380,Aulesti,Spain,Basque Country,Biscay,BI
Vizzini (Catania),Vizzini (Catania),"95049 Vizzini, Province of Catania, Italy",37.1613188,14.7488678,95049,Vizzini,Italy,Sicily,Province of Catania,CT
Piemonte,Piemonte,"Piedmont, Italy",45.0522366,7.5153885,,,Italy,Piedmont,,
Messina,Messina,"Messina, Province of Messina, Italy",38.1937335,15.5542057,,Messina,Italy,Sicily,Province of Messina,ME
Teruel,Teruel,"Teruel, Spain",40.3456879,-1.1064345,,Teruel,Spain,Aragon,Teruel,Teruel
Azcoitia,Azcoitia,"20720 Azkoitia, Gipuzkoa, Spain",43.1776439,-2.3109203,20720,Azkoitia,Spain,Basque Country,Gipuzkoa,SS
Baquio (Vizcaya),Baquio (Vizcaya),"Bakio, Biscay, Spain",43.427173,-2.8126769,,Bakio,Spain,Basque Country,Biscay,BI
Lezama (Vizcaya),Lezama (Vizcaya),"48196 Lezama, Biscay, Spain",43.2741817,-2.8328025,48196,Lezama,Spain,Basque Country,Biscay,BI
Termini (Palermo),Termini (Palermo),"90018 Termini Imerese, Province of Palermo, Italy",37.984023,13.6961892,90018,Termini Imerese,Italy,Sicily,Province of Palermo,PA
Cervera (Lérida),Cervera (Lérida),"Cervera, Lleida, Spain",41.6838422,1.2794744,,,Spain,Catalonia,Lleida,Lleida
Zell (Salzburg),Zell (Salzburg),"5700 Zell am See, Austria",47.32352,12.79685,5700,Zell am See,Austria,Salzburg,Zell am See District,Zell am See District
Talavera de la Reina (Toledo),Talavera de la Reina (Toledo),"45600 Talavera de la Reina, Toledo, Spain",39.962884,-4.8304536,45600,Talavera de la Reina,Spain,Castile-La Mancha,Toledo,TO
Rimini,Rimini,"Rimini, Province of Rimini, Italy",44.0678288,12.5695158,,Rimini,Italy,Emilia-Romagna,Province of Rimini,RN
"Conewago, Pa.","Conewago, Pa.","Conewago Township, PA, USA",39.7877712,-77.02766,,,United States,Pennsylvania,Adams County,Adams County
Ename (Fl Or),Ename ,"Ename, 9700 Oudenaarde, Belgium",50.8570277,3.6319101,9700,Oudenaarde,Belgium,Flanders,East Flanders,OV
Villalba de Alcor (Huelva),Villalba de Alcor (Huelva),"21860 Villalba del Alcor, Huelva, Spain",37.3963433,-6.4756552,21860,Villalba del Alcor,Spain,Andalusia,Huelva,Huelva
Namur,Namur,"Namur, Belgium",50.4673883,4.8719854,,Namur,Belgium,Wallonia,Province of Namur,NA
? (Brabant),? (Brabant),"North Brabant, Netherlands",51.4826537,5.2321687,,,Netherlands,North Brabant,,
"Jalapa, Ver.","Jalapa, Ver.","Xalapa, Ver., Mexico",19.5437751,-96.9101806,,Xalapa,Mexico,Veracruz,,
Paredes de Nava (Palencia),Paredes de Nava (Palencia),"34300 Paredes de Nava, Palencia, Spain",42.151599,-4.692841,34300,Paredes de Nava,Spain,Castile and León,Palencia,Palencia
Bilbao,Bilbao,"Bilbao, Biscay, Spain",43.2630126,-2.9349852,,Bilbao,Spain,Basque Country,Biscay,BI
Portugal,Portugal,Portugal,39.399872,-8.224454,,,Portugal,,,
Iniesta (Cuenca),Iniesta (Cuenca),"16235 Iniesta, Cuenca, Cuenca, Spain",39.4408362,-1.7492463,16235,"Iniesta, Cuenca",Spain,Castile-La Mancha,Cuenca,Cuenca
Genève,Genève,"Geneva, Switzerland",46.2043907,6.1431577,,Geneva,Switzerland,Geneva,Geneva,Geneva
Maynooth (Kildare),Maynooth (Kildare),"Maynooth, Co. Kildare, Ireland",53.3812896,-6.5918499,,Maynooth,Ireland,County Kildare,,
Siracusa,Siracusa,"96100 Syracuse, Province of Syracuse, Italy",37.0754739,15.2865861,96100,Syracuse,Italy,Sicily,Province of Syracuse,SR
Napoli,Napoli,"Naples, Metropolitan City of Naples, Italy",40.8517983,14.26812,,,Italy,Campania,Metropolitan City of Naples,NA
León Gto.,León Gto.,"León, Guanajuato, Mexico",21.1250077,-101.6859605,,León,Mexico,Guanajuato,,
Madrid,Madrid,"Madrid, Spain",40.4167754,-3.7037902,,Madrid,Spain,Community of Madrid,Madrid,M
? (Oviedo),? (Oviedo),"Oviedo, Asturias, Spain",43.3619145,-5.8493887,,Oviedo,Spain,Asturias,Asturias,O
Valbona (Teruel),Valbona (Teruel),"44430 Valbona, Aragon, Teruel, Spain",40.2287673,-0.810952,44430,"Valbona, Aragon",Spain,Aragon,Teruel,Teruel
La Almolda (Zaragoza),La Almolda (Zaragoza),"50178 La Almolda, Zaragoza, Spain",41.5523078,-0.2115709,50178,La Almolda,Spain,Aragon,Zaragoza,Z
Guillamil (Orense),Guillamil (Orense),"32655 Guillamil, Ourense, Spain",42.1225093,-7.8336656,32655,Guillamil,Spain,Galicia,Ourense,Ourense
Salamanca,Salamanca,"Salamanca, Spain",40.9701039,-5.6635397,,Salamanca,Spain,Castile and León,Salamanca,SA
Loja (Granada),Loja (Granada),"18300 Loja, Granada, Spain",37.1661897,-4.149075,18300,Loja,Spain,Andalusia,Granada,Granada
Purchil (Granada),Purchil (Granada),"18102 Purchil, Granada, Spain",37.1716374,-3.6660586,18102,Purchil,Spain,Andalucía,Granada,Granada
La Rambla (Córdoba),La Rambla (Córdoba),"La Rambla, 14540, Córdoba, Spain",37.6063408,-4.7393576,14540,,Spain,Andalusia,Córdoba,Córdoba
Le Puy-en-Velay,Le Puy-en-Velay,"43000 Le Puy, France",45.042768,3.882936,43000,Le Puy,France,Auvergne-Rhône-Alpes,Haute-Loire,Haute-Loire
Alcobendas (Madrid),Alcobendas (Madrid),"Alcobendas, Madrid, Spain",40.5372512,-3.6372245,,Alcobendas,Spain,Community of Madrid,Madrid,M
Granada,Granada,"Granada, Spain",37.1773363,-3.5985571,,Granada,Spain,Andalusia,Granada,Granada
Sutton (Surrey),Sutton (Surrey),"Sutton, UK",51.3614279,-0.193961,,Sutton,United Kingdom,England,Greater London,Greater London
Reggio Calabria ,Reggio Calabria ,"Reggio Calabria, Province of Reggio Calabria, Italy",38.1113006,15.6472914,,Reggio Calabria,Italy,Calabria,Province of Reggio Calabria,RC
Baltimore,Baltimore,"Baltimore, MD, USA",39.2903848,-76.6121893,,Baltimore,United States,Maryland,,
Tarragona,Tarragona,"Tarragona, Spain",41.1188827,1.2444909,,Tarragona,Spain,Catalonia,Tarragona,T
? (Ireland),? (Ireland),Ireland,53.1423672,-7.6920536,,,Ireland,,,
Dublin,Dublin,"Dublin, Ireland",53.3498053,-6.2603097,,Dublin,Ireland,County Dublin,,
Ibarra (Imbabura),Ibarra (Imbabura),"Ibarra, Ecuador",0.3471469,-78.1323648,,Ibarra,Ecuador,Imbabura Province,Ibarra Canton,Ibarra Canton
Terni,Terni,"05100 Terni, Province of Terni, Italy",42.5636168,12.6426604,5100,Terni,Italy,Umbria,Province of Terni,TR
Fabbrica di Roma (Roma),Fabbrica di Roma (Roma),"01034 Fabrica di Roma, VT, Italy",42.3235089,12.334934,1034,,Italy,Lazio,Province of Viterbo,VT
Riesi (Caltanissetta),Riesi (Caltanissetta),"93016 Riesi, Province of Caltanissetta, Italy",37.2904107,14.088517,93016,,Italy,Sicily,Province of Caltanissetta,CL
Paris,Paris,"Paris, France",48.856614,2.3522219,,Paris,France,Île-de-France,Paris,Paris
Renera (Guadalajara),Renera (Guadalajara),"19145 Renera, Guadalajara, Spain",40.4915971,-3.0166329,19145,Renera,Spain,Castile-La Mancha,Guadalajara,Guadalajara
Miñotos (Lugo),Miñotos (Lugo),"27865 Miñotos, Lugo, Spain",43.566667,-7.583333,27865,Miñotos,Spain,Galicia,Lugo,Lugo
Yssingeaux (H-Loire),Yssingeaux (H-Loire),"43200 Yssingeaux, France",45.142667,4.123734,43200,Yssingeaux,France,Auvergne-Rhône-Alpes,Haute-Loire,Haute-Loire
Veracruz,Veracruz,"Heroica Veracruz, Ver., Mexico",19.173773,-96.1342241,,Heroica Veracruz,Mexico,Veracruz,,
Cham (Zug),Cham (Zug),"Cham, Switzerland",47.181225,8.4592089,,Cham,Switzerland,Canton of Zug,Zug,Zug
Roermond (Limburg),Roermond (Limburg),"Roermond, Netherlands",51.1913202,5.9877715,,Roermond,Netherlands,Limburg,Roermond,Roermond
"Laguna de Términos, Tab","Laguna de Términos, Tab","Laguna de Términos, Campeche, Mexico",18.658632,-91.5596117,,,Mexico,Campeche,,
Almansa (Albacete),Almansa (Albacete),"02640 Almansa, Albacete, Spain",38.8702789,-1.0993366,2640,Almansa,Spain,Castile-La Mancha,Albacete,Albacete
Naguiz (Navarra),Naguiz (Navarra),"Navarre, Spain",42.6953909,-1.6760691,,,Spain,Navarre,Navarre,NA
Pontarlier (Doubs),Pontarlier (Doubs),"25300 Pontarlier, France",46.9041039,6.354242,25300,Pontarlier,France,Bourgogne-Franche-Comté,Doubs,Doubs
Villagarcía de C.,Villagarcía de C.,"C, Rúa do Alcalde Rey Daviña, 6, 36600 Vilagarcía de Arousa, Pontevedra, Spain",42.5964618,-8.7652628,36600,Vilagarcía de Arousa,Spain,Galicia,Pontevedra,PO
Appleton (York),Appleton (York),"Appleton, Main road, Appleton -le- Street, North Yorkshire, YO17 6PG, United Kingdom, Appleton-le-Street, Malton YO17 6TP, UK",54.152188,0.8735,YO17 6TP,Appleton-le-Street,United Kingdom,England,North Yorkshire,North Yorkshire
"Sajamonde (Redondela, Pontevedra)","Sajamonde (Redondela, Pontevedra)","Saxamonde, 36816, Pontevedra, Spain",42.2536152,-8.6011268,36816,,Spain,Galicia,Pontevedra,PO
Montagny (Fribourg),Montagny (Fribourg),"Montagny, Switzerland",46.8188202,6.9759592,,Montagny,Switzerland,Fribourg,Broye District,Broye District
Camp Real (Madrid),Camp Real (Madrid),"Madrid, Spain",40.4167754,-3.7037902,,Madrid,Spain,Community of Madrid,Madrid,M
Sizergh pr Kendel (Westmoreland),Sizergh pr Kendel (Westmoreland),"Sizergh Castle, Sizergh, Kendal LA8 8DZ, UK",54.2836111,-2.7722222,LA8 8DZ,Sizergh,United Kingdom,England,Cumbria,Cumbria
Oyarzun (Guipúzcoa),Oyarzun (Guipúzcoa),"20180 Oiartzun, Gipuzkoa, Spain",43.298838,-1.8624156,20180,Oiartzun,Spain,Basque Country,Gipuzkoa,SS
Zaragoza,Zaragoza,"Zaragoza, Spain",41.6488226,-0.8890853,,Zaragoza,Spain,Aragon,Zaragoza,Z
Baracaldo (Vizcaya),Baracaldo (Vizcaya),"Barakaldo, Biscay, Spain",43.2969875,-2.9862029,,Barakaldo,Spain,Basque Country,Biscay,BI
Kooigem (Fl Oc),Kooigem ,"Kooigem, 8510 Kortrijk, Belgium",50.7396942,3.3313161,8510,Kortrijk,Belgium,Flanders,West Flanders,WV
Añaviega (Soria),Añaviega (Soria),"42108 Añavieja, Soria, Spain",41.8795993,-1.9850943,42108,Añavieja,Spain,Castilla y León,Soria,Soria
? (hispanus),? (hispanus),,,,,,,,,
Cortemilia (Cuneo),Cortemilia (Cuneo),"12074 Cortemilia, Province of Cuneo, Italy",44.5799858,8.193961,12074,,Italy,Piedmont,Province of Cuneo,CN
Balaguer (Lérida),Balaguer (Lérida),"Balaguer, Lleida, Spain",41.7877143,0.8008388,,,Spain,Catalonia,Lleida,Lleida
Coro (Lugo),Coro (Lugo),"27652 Coro, Lugo, Spain",42.9363929,-6.8796687,27652,Coro,Spain,Galicia,Lugo,Lugo
Angers,Angers,"Angers, France",47.4711616,-0.5518257,,Angers,France,Pays de la Loire,Maine-et-Loire,Maine-et-Loire
Arahal (Sevilla),Arahal (Sevilla),"Arahal, Seville, Spain",37.2593351,-5.5434222,,Arahal,Spain,Andalusia,Seville,Seville
Torino,Torino,"Turin, Metropolitan City of Turin, Italy",45.0703393,7.686864,,,Italy,Piedmont,Metropolitan City of Turin,TO
Aldeavieja (Ávila vel Salamanca),Aldeavieja (Ávila vel Salamanca),"05193 Aldeavieja, Ávila, Spain",40.7429999,-4.4716963,5193,Aldeavieja,Spain,Castile and León,Ávila,Ávila
Anvers,Anvers,"Antwerp, Belgium",51.2194475,4.4024643,,Antwerp,Belgium,Flanders,Antwerp,AN
Zitácuaro (Michoacán),Zitácuaro (Michoacán),"Zitácuaro, Michoacán, Mexico",19.4376056,-100.3558695,,Zitácuaro,Mexico,Michoacán,,
Algaida (Mallorca),Algaida (Mallorca),"07210 Algaida, Balearic Islands, Spain",39.5601816,2.8918657,7210,Algaida,Spain,Balearic Islands,Balearic Islands,Balearic Islands
Balsthal (Solothurn),Balsthal (Solothurn),"4710 Balsthal, Switzerland",47.3095856,7.6883283,4710,Balsthal,Switzerland,Solothurn,Thal District,Thal District
Montemayor (Córdoba),Montemayor (Córdoba),"14530 Montemayor, Córdoba, Spain",37.6470584,-4.698658,14530,Montemayor,Spain,Andalusia,Córdoba,Córdoba
St-Malo (Ille-et-V),St-Malo (Ille-et-V),"Saint-Malo, France",48.649337,-2.025674,,Saint-Malo,France,Brittany,Ille-et-Vilaine,Ille-et-Vilaine
St. Columb (Cornwall),St. Columb (Cornwall),"St Columb Major, Saint Columb, UK",50.4320841,-4.9423812,,Saint Columb Major,United Kingdom,England,Cornwall,Cornwall
Puebla del Salvador (Cuenca),Puebla del Salvador (Cuenca),"16269 Puebla del Salvador, Cuenca, Spain",39.5655504,-1.6754617,16269,Puebla del Salvador,Spain,Castile-La Mancha,Cuenca,Cuenca
Bretten (Baden),Bretten (Baden),"75015 Bretten, Germany",49.0362907,8.7010592,75015,Bretten,Germany,Baden-Württemberg,Karlsruhe,KA
? (Varmia),? (Varmia),"Warmian-Masurian Voivodeship, Poland",53.8671117,20.7027861,,,Poland,Warmian-Masurian Voivodeship,,
Gan,Gan,,,,,,,,,
Valverde (Teruel),Valverde (Teruel),"44211 Valverde, Teruel, Spain",40.9849753,-1.198016,44211,Valverde,Spain,Aragón,Teruel,Teruel
Manresa,Manresa,"Municipality of Manresa, Barcelona, Spain",41.7211121,1.8164413,,,Spain,Catalonia,Barcelona,Barcelona
Posoantiguo (Zamora),Posoantiguo (Zamora),"49835 Pozoantiguo, Zamora, Spain",41.5969031,-5.4365079,49835,Pozoantiguo,Spain,Castile and León,Zamora,Zamora
Alba de Tormes (Salamanca),Alba de Tormes (Salamanca),"37800 Alba de Tormes, Salamanca, Spain",40.8247618,-5.51187,37800,Alba de Tormes,Spain,Castile and León,Salamanca,SA
Lucena (Córdoba),Lucena (Córdoba),"14900 Lucena, Córdoba, Spain",37.4129332,-4.4961008,14900,Lucena,Spain,Andalusia,Córdoba,Córdoba
Sangüesa (Navarra),Sangüesa (Navarra),"31400 Sangüesa, Navarre, Spain",42.5744349,-1.2830851,31400,Sangüesa,Spain,Navarre,Navarre,NA
Senigallia (Ancona),Senigallia (Ancona),"60019 Senigallia, Province of Ancona, Italy",43.7197926,13.2152224,60019,Senigallia,Italy,Marche,Province of Ancona,AN
Mussomeli (Caltanissetta),Mussomeli (Caltanissetta),"93014 Mussomeli, Province of Caltanissetta, Italy",37.5756738,13.7529685,93014,Mussomeli,Italy,Sicily,Province of Caltanissetta,CL
Onteniente (Valencia),Onteniente (Valencia),"46870 Ontinyent, Valencia, Spain",38.8220593,-0.6063927,46870,Ontinyent,Spain,Valencian Community,Valencia,V
Cehejín (Murcia),Cehejín (Murcia),"30430 Cehegín, Murcia, Spain",38.0922055,-1.7963757,30430,Cehegín,Spain,Region of Murcia,Murcia,MU
"S. Juan de los Lagos, Jal.","S. Juan de los Lagos, Jal.","San Juan de los Lagos, Jalisco, Mexico",21.2474689,-102.3316999,,San Juan de los Lagos,Mexico,Jalisco,,
México ,México ,Mexico,23.634501,-102.552784,,,Mexico,,,
Nevers (Nièvre),Nevers (Nièvre),"58000 Nevers, France",46.990896,3.162845,58000,Nevers,France,Bourgogne-Franche-Comté,Nièvre,Nièvre
Vicenza,Vicenza,"36100 Vicenza, Province of Vicenza, Italy",45.5454787,11.5354214,36100,Vicenza,Italy,Veneto,Province of Vicenza,VI
Oviedo,Oviedo,"Oviedo, Asturias, Spain",43.3619145,-5.8493887,,Oviedo,Spain,Asturias,Asturias,O
? (Milano),? (Milano),"Milan, Metropolitan City of Milan, Italy",45.4642035,9.189982,,Milan,Italy,Lombardy,Metropolitan City of Milan,MI
Pluherlain (Morbihan),Pluherlain (Morbihan),"56220 Pluherlin, France",47.696544,-2.362286,56220,Pluherlin,France,Brittany,Morbihan,Morbihan
Fontrubí (Barcelona),Fontrubí (Barcelona),"08736 Font-rubí, Barcelona, Spain",41.4347024,1.5910701,8736,Font-rubí,Spain,Catalunya,Barcelona,Barcelona
Rincón de León ,Rincón de León ,"Av. del Hospital 335, Valle de San Blas, 66025 García, N.L., Mexico",25.8001146,-100.5688637,66025,García,Mexico,Nuevo León,,
Frankfurt a.M.,Frankfurt a.M.,"Frankfurt, Germany",50.1109221,8.6821267,,Frankfurt,Germany,Hesse,Darmstadt,DA
Villeneuve-de-Berg (Ardèche),Villeneuve-de-Berg (Ardèche),"07170 Villeneuve-de-Berg, France",44.556738,4.50099,7170,Villeneuve-de-Berg,France,Auvergne-Rhône-Alpes,Ardèche,Ardèche
? (Portugal),? (Portugal),Portugal,39.399872,-8.224454,,,Portugal,,,
Gramond (Loire),Gramond (Loire),"42140 Grammond, France",45.572959,4.4437559,42140,Grammond,France,Auvergne-Rhône-Alpes,Loire,Loire
Montone (Perugia),Montone (Perugia),"06014 Montone, Province of Perugia, Italy",43.3623228,12.3236873,6014,Montone,Italy,Umbria,Province of Perugia,PG
